,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
120,lebu,20,CL,1579796400,54,70.88,-37.62,-73.65,6.67
121,vorukh,98,TJ,1579796400,76,23.99,39.85,70.58,1.61
122,yatou,91,CN,1579796400,80,39.96,37.15,122.38,12.3
123,muravlenko,100,RU,1579796400,93,14.13,63.79,74.52,15.03
124,mendi,100,PG,1579796400,98,54.9,-6.18,143.65,1.92
125,ponta do sol,40,PT,1579796401,55,64.4,32.67,-17.1,4.7
126,alofi,80,NU,1579796401,100,68.0,-19.06,-169.92,1.12
127,nikolskoye,72,RU,1579796401,67,32.0,59.7,30.79,8.95
128,kenai,75,US,1579796401,76,10.99,60.55,-151.26,7.61
129,upernavik,94,GL,1579796401,87,-4.9,72.79,-56.15,4.85
130,sioux lookout,90,CA,1579796134,85,14.0,50.1,-91.92,6.93
131,svetlogorsk,68,BY,1579796220,74,31.32,52.63,29.73,11.27
132,mayo,1,US,1579796402,69,39.2,38.89,-76.51,4.7
133,kalmunai,3,LK,1579796402,77,82.09,7.42,81.82,16.02
134,wajir,26,KE,1579796402,21,98.38,1.75,40.06,11.9
135,fare,7,PF,1579796402,76,81.82,-16.7,-151.02,10.02
136,norman wells,75,CA,1579796402,76,-4.0,65.28,-126.83,2.24
137,port alfred,1,ZA,1579796402,81,71.01,-33.59,26.89,4.0
138,sao joao evangelista,100,BR,1579796394,98,67.37,-18.55,-42.76,4.85
139,hithadhoo,94,MV,1579796403,80,84.61,-0.6,73.08,15.21
140,bokoro,0,TD,1579796403,7,85.93,12.38,17.06,14.52
141,goldsboro,1,US,1579796403,70,45.0,35.38,-77.99,8.05
142,perote,0,MX,1579796403,64,61.03,19.57,-97.23,1.36
143,sfantu gheorghe,88,RO,1579796403,67,30.99,45.87,25.78,5.01
144,pontes e lacerda,100,BR,1579796403,62,86.77,-15.23,-59.34,6.29
145,coquimbo,20,CL,1579796213,60,73.4,-29.95,-71.34,10.29
146,port hedland,0,AU,1579796106,83,84.2,-20.32,118.57,10.29
147,necochea,0,AR,1579796404,48,91.0,-38.55,-58.74,11.99
148,geraldton,0,AU,1579796161,82,68.0,-28.77,114.6,14.99
149,vila franca do campo,40,PT,1579796404,82,55.4,37.72,-25.43,14.99
150,coahuayana,40,MX,1579796404,83,69.8,18.73,-103.68,3.78
151,victoria,20,HK,1579796187,83,73.0,22.29,114.16,5.82
152,bambanglipuro,100,ID,1579796405,89,76.87,-7.95,110.28,3.89
153,uturoa,71,PF,1579796405,78,81.59,-16.73,-151.43,12.03
154,vila velha,40,BR,1579796405,74,82.4,-20.33,-40.29,12.75
155,bulawayo,67,ZW,1579796405,25,87.13,-20.15,28.58,12.5
156,zonguldak,100,TR,1579796405,96,27.75,41.25,31.83,7.31
157,kochkurovo,91,RU,1579796405,92,15.89,54.04,45.42,7.85
158,rawson,65,AR,1579796405,54,69.76,-43.3,-65.1,4.38
159,beringovskiy,100,RU,1579796406,98,7.21,63.05,179.32,7.85
160,tahta,0,EG,1579796165,44,60.8,26.77,31.5,13.87
161,lamu,100,KE,1579796406,84,81.77,-2.27,40.9,18.03
162,xai-xai,2,MZ,1579796292,60,80.85,-25.05,33.64,10.63
163,cabo san lucas,5,MX,1579796253,87,66.99,22.89,-109.91,4.7
164,tasiilaq,20,GL,1579796406,61,14.0,65.61,-37.64,38.03
165,hazorasp,0,UZ,1579796406,80,33.8,41.32,61.07,4.7
166,esperance,90,AU,1579796407,82,62.6,-33.87,121.9,6.93
167,itarantim,100,BR,1579796407,81,75.06,-15.66,-40.07,5.35
168,bathsheba,40,BB,1579796407,83,78.8,13.22,-59.52,16.11
169,quatre cocos,75,MU,1579796407,74,84.2,-20.21,57.76,3.36
170,nabire,94,ID,1579796407,97,72.55,-3.37,135.48,1.79
171,pangnirtung,5,CA,1579796407,61,-22.0,66.15,-65.71,3.38
172,corrente,99,BR,1579796407,73,85.98,-3.74,-43.34,5.12
173,bulnes,73,CL,1579796408,60,73.4,-36.74,-72.3,5.82
174,santa isabel,90,BR,1579796408,100,73.4,-23.32,-46.22,5.82
175,castro,100,BR,1579796401,96,62.04,-24.79,-50.01,4.54
176,yar-sale,100,RU,1579796408,94,11.17,66.83,70.83,11.63
177,orangeburg,1,US,1579796368,60,44.6,33.49,-80.86,8.05
178,saint helens,90,GB,1579796408,93,48.0,53.45,-2.73,4.7
179,devils lake,90,US,1579796238,100,19.4,48.11,-98.87,9.17
180,carbondale,90,US,1579796410,64,39.2,37.73,-89.22,8.05
181,cayenne,10,GF,1579796410,55,86.0,4.93,-52.33,9.17
182,mazagao,40,BR,1579796410,62,87.8,-0.12,-51.29,8.05
183,valls,20,ES,1579796410,71,57.0,41.29,1.25,4.7
184,kangasala,75,FI,1579796411,85,33.01,61.5,24.08,11.41
185,linxi,37,CN,1579796411,80,35.01,39.7,118.43,10.49
186,ambon,71,ID,1579796411,77,81.09,-3.7,128.18,7.67
187,huarmey,99,PE,1579796411,71,73.8,-10.07,-78.15,4.07
188,east london,75,ZA,1579796411,78,71.6,-33.02,27.91,11.41
189,maddaloni,0,IT,1579796411,62,57.2,41.04,14.38,4.7
190,fortuna,90,US,1579796112,81,57.0,40.6,-124.16,4.99
191,coxcatlan,0,MX,1579796412,69,60.93,18.27,-97.15,3.8
192,ibra,0,OM,1579796412,57,69.22,22.69,58.53,13.18
193,souillac,75,MU,1579796412,74,84.2,-20.52,57.52,3.36
194,kayerkan,75,RU,1579796412,84,1.4,69.35,87.76,22.37
195,natal,75,BR,1579796412,66,87.8,-5.79,-35.21,14.99
196,airai,57,TL,1579796413,92,67.46,-8.93,125.41,3.87
197,margate,75,GB,1579796413,100,46.99,51.38,1.39,3.36
198,kavaratti,0,IN,1579796413,70,83.34,10.57,72.64,6.64
199,ayan,94,RU,1579796413,63,-13.43,56.45,138.17,2.98
200,omboue,89,GA,1579796414,75,85.51,-1.57,9.26,5.1
201,borovoy,90,RU,1579796415,92,24.8,55.43,86.08,17.9
202,vao,26,NC,1579796415,70,77.9,-22.67,167.48,13.31
203,cidreira,91,BR,1579796151,78,72.64,-30.18,-50.21,13.98
204,noumea,0,NC,1579796416,82,79.0,-22.28,166.46,3.36
205,longhua,37,CN,1579796416,81,66.36,23.61,114.19,1.19
206,jensen beach,90,US,1579796238,68,75.0,27.25,-80.23,6.93
207,tuktoyaktuk,75,CA,1579796399,75,-13.0,69.45,-133.04,9.17
208,lianzhou,100,CN,1579796416,82,54.68,24.78,112.38,7.45
209,nalut,21,LY,1579796417,16,70.65,30.33,10.85,13.96
210,zhicheng,100,CN,1579796417,91,43.0,30.3,111.5,3.58
211,ankazoabo,17,MG,1579796417,67,78.48,-22.28,44.52,8.08
212,oppdal,40,NO,1579796417,92,30.85,62.59,9.69,24.05
